Device,Time,Alert,Lat/Lng,Address,Driver(s),Speed (mph)
PORTER,02/21/2025 06:59:18 AM,After Hours,"38.227127°, -122.622658°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,11.5
PORTER,02/21/2025 07:59:19 AM,After Hours,"38.248836°, -122.626312°","101 N McDowell Blvd, Petaluma, CA 94954, USA",N/A,27.9
PORTER,02/21/2025 12:32:57 PM,Harsh Cornering,"38.470665°, -122.729271°","3135 Cleveland Ave, Santa Rosa, CA 95403, USA",N/A,34.4
PORTER,02/21/2025 06:24:14 PM,After Hours,"38.331550°, -122.715042°","8505 Hwy 116 S, Cotati, CA 94931, USA",N/A,18.0
PORTER,03/03/2025 07:25:27 AM,Engine Idle,"38.228931°, -122.624359°","1041 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,03/03/2025 07:41:15 AM,After Hours,"38.228893°, -122.622978°","1077 Warren Dr, Petaluma, CA 94952, USA",N/A,11.8
PORTER,03/04/2025 07:44:46 AM,After Hours,"38.227100°, -122.622642°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,13.6
PORTER,03/05/2025 07:44:39 AM,After Hours,"38.229061°, -122.624054°","1061 Warren Dr, Petaluma, CA 94952, USA",N/A,9.6
PORTER,03/06/2025 07:10:57 PM,After Hours,"38.348358°, -122.716850°","301 Rohnert Park Expy, Rohnert Park, CA 94928, USA",N/A,16.4
PORTER,03/07/2025 07:43:50 AM,After Hours,"38.227123°, -122.622673°","247 McNear Cir, Petaluma, CA 94952, USA",N/A,11.1
PORTER,03/10/2025 08:22:52 AM,Engine Idle,"38.229046°, -122.624649°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,0.0
PORTER,03/11/2025 07:47:25 AM,After Hours,"38.229069°, -122.624557°","1001 Warren Dr, Petaluma, CA 94952, USA",N/A,6.6
PORTER,03/11/2025 10:18:39 AM,Device Disconnected,"38.251453°, -122.636787°","US 101, Petaluma, CA 94954, USA",N/A,77.1
PORTER,03/11/2025 06:44:45 PM,After Hours,"38.333809°, -122.714691°","7921 Redwood Dr, Cotati, CA 94931, USA",N/A,13.1
PORTER,03/12/2025 10:19:15 AM,After Hours,"38.227844°, -122.625412°","1025 Addison Cir, Petaluma, CA 94952, USA",N/A,13.7
PORTER,03/13/2025 07:02:34 PM,After Hours,"38.284298°, -122.686378°","1433 Stony Point Rd, Petaluma, CA 94952, USA",N/A,43.2
Ricardo (NEW),01/03/2025 10:47:13 AM,Engine Idle,"38.267929°, -122.640381°","829 Chardonnay Cir, Petaluma, CA 94954, USA",N/A,0.0
Ricardo (NEW),01/03/2025 01:44:07 PM,Engine Idle,"38.232609°, -122.643638°","31 Howard St, Petaluma, CA 94952, USA",N/A,0.0
Ricardo (NEW),01/06/2025 10:10:13 AM,Engine Idle,"38.271454°, -122.642937°","1816 Sandstone Dr, Petaluma, CA 94954, USA",N/A,0.0
Ricardo (NEW),01/06/2025 02:11:26 PM,Engine Idle,"38.348499°, -122.723701°","561 Rohnert Park Expy, Rohnert Park, CA 94928, USA",N/A,0.0
Ricardo (NEW),01/09/2025 09:55:34 AM,Harsh Cornering,"38.432178°, -122.716186°","CA 12, Santa Rosa, CA 95407, USA",N/A,34.4
Ricardo (NEW),01/09/2025 11:39:09 AM,Harsh Cornering,"38.348278°, -122.712814°","US 101, Rohnert Park, CA 94928, USA",N/A,36.2
Ricardo (NEW),01/09/2025 03:18:15 PM,Engine Idle,"38.319576°, -122.302795°","1472 Sumner Ave, Napa, CA 94558, USA",N/A,0.0
Ricardo (NEW),01/10/2025 10:50:51 AM,Engine Idle,"38.342625°, -122.715408°","466 Primero Ct, Cotati, CA 94931, USA",N/A,0.0
Ricardo (NEW),01/10/2025 05:23:31 PM,Harsh Braking,"38.348381°, -122.706329°","6301 State Farm Dr, Rohnert Park, CA 94928, USA",N/A,0.0
Ricardo (NEW),01/13/2025 06:32:52 PM,Engine Idle,"38.344177°, -122.718506°","92 Ronda St, Rohnert Park, CA 94928, USA",N/A,0.0
Ricardo (NEW),01/15/2025 08:34:51 AM,Engine Idle,"38.342674°, -122.715378°","466 Primero Ct, Cotati, CA 94931, USA",N/A,0.0
